,text_final
0,"['studio', 'site', 'org']"
1,"['q', 'get', 'know', 'team', 'project']"
2,"['create', 'three', 'use', 'case', 'support', 'underserved', 'population', 'commitment', 'prototype', 'need', 'support', 'case', 'must', 'large', 'task', 'trivial', 'task']"
3,"['post', 'last', 'status', 'update']"
4,"['question', 'answer', 'update']"
5,"['show', 'team', 'give', 'feedback', 'part', 'late', 'assignment']"
6,"['rubber', 'duck', 'debug', 'rdd']"
7,"['one', 'thing', 'give', 'honest', 'assessment', 'job']"
8,"['skip', 'content']"
9,"['already', 'team', 'one', 'person', 'team', 'need', 'submit', 'registration', 'form']"
10,"['point', 'research', 'question', 'goal']"
11,"['recommend', 'post', 'design', 'early', 'respond', 'others', 'early', 'encourage', 'others']"
12,"['work', 'team', 'whole', 'term']"
13,"['list', 'individually', 'member', 'part', 'percentage', 'contribution', 'work', 'fill', 'google', 'form']"
14,"['state', 'show', 'concept', 'clearly', 'communicate', 'legible', 'clear', 'move', 'state', 'feature', 'substantial']"
15,"['information', 'instruction', 'team', 'discuss', 'sprint', 'go', 'term', 'communication', 'answer', 'follow', 'team', 'communication', 'go', 'well', 'go', 'poorly', 'team', 'agree', 'improve', 'sprint', 'one', 'person', 'post', 'answer', 'individually', 'post', 'say', 'agree', 'retrospective', 'post', 'contribute', 'everyone', 'must', 'contribute', 'retrospective', 'agreement', 'retrospective', 'must', 'unanimous', 'otherwise', 'talk']"
16,['instruction']
17,"['indicate', 'individually', 'member', 'part', 'work', 'percentage', 'contribution', 'work', 'fill', 'google', 'form']"
18,"['b', 'sketch', 'beginning', 'low', 'fidelity', 'prototype', 'sketched', 'screen', 'transition', 'diagram', 'develop', 'satisfy', 'use', 'case', 'pencil', 'good', 'need', 'go', 'computer', 'art', 'yet', 'see', 'figure', 'sample', 'screen', 'transition', 'draw', 'prototype', 'would', 'pencil', 'rough', 'polish', 'like']"
19,"['download', 'template']"
20,"['already', 'team', 'one', 'person', 'team', 'submit', 'registration', 'form']"
21,"['attribute', 'project', 'idea', 'need']"
22,"['paper', 'prototypes', 'usability', 'evaluation']"
23,"['include', 'element', 'system', 'user', 'need', 'interact', 'work', 'task']"
24,"['recommend', 'post', 'design', 'early', 'respond', 'others', 'early', 'encourage', 'others']"
25,"['widget', 'menu', 'pretty', 'much', 'figure', 'decide', 'exact', 'position', 'color', 'shape', 'etc']"
26,"['post', 'code', 'available', 'time', 'come']"
27,"['find', 'one', 'five', 'people', 'choose', 'team', 'name']"
28,"['look', 'listed', 'mandatory', 'key', 'feature', 'user', 'able', 'use', 'amount', 'point', 'book', 'request', 'another', 'user']"
29,"['sprint', 'plan', 'microservice', 'publish', 'communication', 'contract', 'team']"
30,"['idea', 'call', 'expert', 'finder', 'essentially', 'web', 'application', 'find', 'expert', 'particular', 'programming', 'language', 'particular', 'coursework', 'give', 'online', 'setting', 'remote', 'learn', 'set', 'thing', 'pretty', 'challenging', 'campus', 'experience', 'useful', 'tip', 'guidance', 'senior', 'peer', 'easy', 'seamless', 'would', 'campus', 'web', 'app', 'take', 'use', 'link', 'twitter', 'github', 'whatever', 'useful', 'link', 'find', 'people', 'particular', 'desire', 'tech', 'skill', 'tech', 'stack', 'skillset', 'particular', 'coursework']"
31,"['fill', 'highlight', 'area']"
32,"['let', 'teammate', 'know', 'individual', 'project', 'communicate', 'microservice']"
33,"['must', 'include', 'teammate', 'communicate', 'team', 'canvas', 'discord', 'expectation', 'teammate', 'responsiveness', 'within', 'hour', 'team', 'someone', 'stop', 'communicate', 'call', 'contingency', 'plan', 'team', 'someone', 'drop', 'course', 'team', 'someone', 'fail', 'implement', 'service', 'person', 'post', 'document', 'contain', 'individually', 'post', 'say', 'agree', 'ground', 'rule']"
34,"['high', 'medium', 'fidelity']"
35,"['take', 'look', 'job', 'option']"
